QUESTION_ID;FIRST_SUBJECT;SECOND_SUBJECT;THIRD_SUBJECT;VALIDITY
9;Expressão Gráfica;Mecânica dos Sólidos;;True
10;Economia;Ciências do Ambiente;;True
11;Administração;Estratégia e Organização;;False
12;Matemática e Estatística;Física;;False
13;Ciência e Tecnologia dos Materiais;Fenômenos de Transporte;;True
14;Expressão Gráfica;Fenômenos de Transporte;;True
15;Matemática e Estatística;Informática;;True
16;Economia;Eletricidade Aplicada;;True
17;Estudo de Viabilidade Técnica, Econômica e Ambiental;Matemática e Estatística;;False
18;Mecânica dos Sólidos;Matemática e Estatística;Física;True
19;Construção Civil;Economia (Núcleo de Conteúdos Básicos);;False
20;Construção Civil;;;True
21;Construção Civil;Transportes;Ciência e Tecnologia dos Materiais (Núcleo de Conteúdos Básicos);True
22;Estruturas;Mecânica dos sólidos (Núcleo de Conteúdos Básicos);;True
23;Estruturas;;;False
24;Geotecnia;Expressão gráfica (Núcleo de Conteúdos Básicos);;True
25;Geotecnia;;;False
26;Geotecnia;;;True
27;Recursos Hídricos e Saneamento;;;True
28;Recursos Hídricos e Saneamento;Fenômenos de Transportes (Núcleo de Conteúdos Básicos);;True
29;Recursos Hídricos e Saneamento;;;True
30;Transportes;;;False
31;Transportes;;;True
32;Transportes;;;True
33;Transportes;;;True
34;Estruturas;Mecânica dos Sólidos (Núcleo de Conteúdos Básicos);;False
35;Construção Civil;Ciência e Tecnologia dos Materiais (Núcleo de Conteúdos Básicos);;True
